city,latitude,longitude,population
Karachi,24.8607,67.0011,14910000
Lahore,31.5497,74.3436,11126000
Faisalabad,31.4180,73.0790,3204000
Rawalpindi,33.5651,73.0169,2098000
Multan,30.1575,71.5249,1871000
Hyderabad,25.3792,68.3683,1732000
Gujranwala,32.1617,74.1883,2027000
Peshawar,34.0151,71.5249,1970000
Quetta,30.1798,66.9750,1001000
Islamabad,33.6844,73.0479,1015000
Sargodha,32.0836,72.6711,659000
Sialkot,32.4945,74.5229,655000
Bahawalpur,29.3956,71.6836,762000
Sukkur,27.7057,68.8574,499000
Jhang,31.2681,72.3181,414000
Sheikhupura,31.7167,73.9850,473000
Larkana,27.5590,68.2123,490000
Gujrat,32.5740,74.0789,390000
Mardan,34.1988,72.0450,358000
Kasur,31.1177,74.4499,368000
Rahim Yar Khan,28.4202,70.2952,353000
Sahiwal,30.6706,73.1064,290000
Okara,30.8081,73.4596,302000
Wah Cantt,33.7969,72.7297,198000
Dera Ghazi Khan,30.0561,70.6403,236000
Mirpur Khas,25.5276,69.0112,205000
Nawabshah,26.2442,68.4100,189000
Kamoke,31.9767,74.2233,203000
Sadiqabad,28.3089,70.1261,189000
Burewala,30.1669,72.6547,164000
Kohat,33.5869,71.4414,151000
Jacobabad,28.2769,68.4514,200000
Muzaffargarh,30.0703,71.1934,190000
Khanpur,28.6471,70.6560,160000
Gojra,31.1492,72.6831,157000
Mandi Bahauddin,32.5861,73.4917,157000
Abbottabad,34.1463,73.2119,148000
Turbat,26.0061,63.0445,75000
Daska,32.3267,74.3500,101000
Chiniot,31.7292,72.9783,201000
Khanewal,30.3017,71.9321,163000
Hafizabad,32.0709,73.6880,165000
Kohat,33.5869,71.4414,151000
Attock,33.7669,72.3600,88000
Muzaffarabad,34.3700,73.4711,725000
Gilgit,35.9208,74.3144,216000
Mirpur,33.1478,73.7536,124000
Mansehra,34.3306,73.1964,96000
Haripur,33.9942,72.9346,62000
Battagram,34.6773,73.0231,16000
Bannu,32.9889,70.6056,67000
Chaman,30.9237,66.4520,85000
Charsadda,34.1483,71.7406,136000
Takht Bhai,34.0769,71.9253,52000
Swabi,34.1201,72.4698,96000
Nowshera,34.0153,71.9747,89000
Topi,34.0700,72.6200,25000
Buner,34.4230,72.4881,39000
Hangu,33.5322,71.0597,48000
Karak,33.1163,71.0930,44000
Torghar,34.5500,72.9000,15000
Lachi,33.3833,71.3333,18000
Dera Ismail Khan,31.8311,70.9018,190000
Mianwali,32.5853,71.5436,157000
Chakwal,32.9328,72.8630,113000
Jhelum,32.9425,73.7257,188000
Narowal,32.1019,74.8729,96000
Bhakkar,31.6289,71.0658,87000
Khushab,32.2961,72.3522,96000
Attock City,33.7669,72.3700,88000
Hazro,33.9100,72.4900,35000
Toba Tek Singh,30.9667,72.4833,140000
Bahawalnagar,29.9981,73.2556,141000
Sukheke,31.8656,73.5089,42000
Bagh,33.9808,73.7753,34000
